"filename", "language", "C++", "comment", "blank", "total"
"/Users/kai/Desktop/Coding/C++Projects/Space/include/AIController.hpp", "C++", 65, 8, 16, 89
"/Users/kai/Desktop/Coding/C++Projects/Space/src/Game.cpp", "C++", 2, 0, 2, 4
"Total", "-", 67, 8, 18, 93
